Id,OrderId,ProductId,UnitPrice,Quantity,Discount,CustomerId,EmployeeId,EmpLastName,Region,CategoryId,CategoryName
10248/11,10248,11,14.0,12,0.0,VINET,5,Buchanan,Western Europe,4,Dairy Products
10248/42,10248,42,9.8,10,0.0,VINET,5,Buchanan,Western Europe,5,Grains/Cereals
10248/72,10248,72,34.8,5,0.0,VINET,5,Buchanan,Western Europe,4,Dairy Products
10249/14,10249,14,18.6,9,0.0,TOMSP,6,Suyama,Western Europe,7,Produce
10249/51,10249,51,42.4,40,0.0,TOMSP,6,Suyama,Western Europe,7,Produce
10250/41,10250,41,7.7,10,0.0,HANAR,4,Peacock,South America,8,Seafood
10250/51,10250,51,42.4,35,0.15,HANAR,4,Peacock,South America,7,Produce
10250/65,10250,65,16.8,15,0.15,HANAR,4,Peacock,South America,2,Condiments
10251/22,10251,22,16.8,6,0.05,VICTE,3,Leverling,Western Europe,5,Grains/Cereals
10251/57,10251,57,15.6,15,0.05,VICTE,3,Leverling,Western Europe,5,Grains/Cereals
